,favorite_count_from,retweet_count_from,followers_count,rfr,rfr_weighted_fav,rfr_weighted_rt,favorite_count_about,retweet_count_about,polarity,polarity_agg,polarity_weighted_fav,polarity_weighted_rt,name,screen_name,industry,controversial
0,0.17949080851724125,0.14788147902991564,0.2707590561564579,0.047178943108717265,0.042794539932759126,0.054777040674100844,0.022419474461006693,0.10323463353561818,0.11663963412347655,0.005363858641784477,0.005364612671791632,0.0053634816293205104,Adele,Adele,musician,0
1,0.15264765460654736,0.0673901266653359,0.06445497605529686,0.14465295831655017,0.13935892731125124,0.15382742573619765,0.04635690406763234,0.0435278884183927,0.41159440106401324,0.1001078124653182,0.10012317691063788,0.10010013029440913,Anna Kendrick,AnnaKendrick47,celebrity,0
2,0.37977491572277194,0.5618388254104304,0.14059099551326942,0.2355526646502751,0.19766133853368753,0.3012177007250378,0.0,0.33281788344769686,0.5389178565461472,1.0,1.0,1.0,Beyonce,Beyonce,musician,0
3,0.16146565423189171,0.0726246914080691,0.3981909616298534,0.02488436676376038,0.023954469636430796,0.026495862973315985,0.012611431861291362,0.11187480372557448,0.3758823944689649,0.08975077218103489,0.08975007226327333,0.08975112213755793,Bruno Mars,BrunoMars,musician,0
4,0.02038563816187309,0.009956283707656303,0.03359401314463238,0.036440320950327065,0.03486140105885949,0.03917656278344134,0.044917867244034924,0.01514875045476033,0.13288025854395075,0.08878575642068066,0.08880321822775977,0.08877702557595626,Caitlyn Jenner,Caitlyn_Jenner,celebrity,1
5,0.7981651536712312,0.2659070459670711,0.6801157064438538,0.07074271190536739,0.06950702695350128,0.07288413331383625,0.012917225017647787,0.09344046032993543,0.5271088417653647,0.239628153122271,0.2396251144718739,0.23962967243723426,Cristiano Ronaldo,Cristiano,athlete,0
6,0.0,0.00015125222902137472,0.03814502674059796,0.0,0.0,0.0,0.07882603764556124,0.00500077000231192,0.44236920085301795,0.09708663835642892,0.0971141565332133,0.0970728793607241,Mehmet Oz,DrOz,celebrity,1
7,0.1962864918658112,0.1393968528314094,0.211576617002052,0.06365696635078634,0.05871720491976661,0.07221749050796618,0.0181986362540653,0.02085779043221031,0.30960646723932617,0.11041212026759989,0.11043255161378496,0.11040190466332463,Eminem,Eminem,musician,1
8,0.19408402476565512,0.13183618141479306,0.2713000565145349,0.04849878832293263,0.04494402970861881,0.05465912570272686,0.2476796805032777,0.01596304490080479,1.0,0.1450612882472666,0.14534528792349505,0.14491928936572906,Emma Watson,EmmaWatson,celebrity,0
9,0.005216318441335268,0.0030199140455446334,0.036767784641620914,0.008804969180645182,0.008328288565334416,0.009631048735216887,0.03488853469074632,0.030300622837845882,0.32211274112471894,0.10618093498460018,0.10618400277036735,0.1061794011020493,Fergie,Fergie,musician,1
10,0.00376328915150268,0.003851615568859964,0.02459005164302324,0.011102287961960113,0.00989429104756473,0.01319572646337086,0.14432078929590816,0.0027420057054275675,0.5036328286793215,0.08370205707243343,0.08382115842137691,0.08364250679912259,Gwyneth Paltrow,GwynethPaltrow,celebrity,1
11,0.006829644047734915,0.04520722621707857,0.0014789281053526162,0.3419158666295178,0.22712431047681714,0.5408477185433903,0.10710363425325563,0.0015294595900082187,0.3801644417806401,0.08672927858704563,0.08675109545562247,0.08671837022624125,Gina Rodriguez,HereIsGina,celebrity,0
12,0.06655688839466074,0.022158045275190358,0.010911277282419632,0.2975901738853313,0.29227743860792604,0.3067970554965237,0.039997336306622576,0.01897978703943037,0.36205252272401656,0.09466507986947686,0.0946811713321793,0.09465703419232518,John Mayer,JohnMayer,musician,1
13,0.018406954701533453,0.011502762814055954,0.16264383955911244,0.006782509212990885,0.006340398819001017,0.007548679150697632,0.02387114658855735,0.006771718902422549,0.5042977732628422,0.09573179223841434,0.09573969879656509,0.09572783898596983,Kevin Durant,KDTrey5,athlete,1
14,0.012623253387082296,0.04851636189330667,0.013930681317713738,0.11133174826051687,0.08017736993596286,0.16532176619428027,0.02046473116668627,0.04877548263958081,0.1258669283452752,0.08286356143236166,0.08286079608546923,0.0828649440964933,Colin Kaepernick,Kaepernick7,athlete,1
15,0.021419975092217585,0.01444115374826509,0.043238830472356,0.032158199432710116,0.029861370276047756,0.036138566046582055,0.06748533621167749,0.005600569467451917,0.36165098784455063,0.09355072705980076,0.09358126153858659,0.09353545992325485,Kevin Spacey,KevinSpacey,celebrity,1
16,0.14910709473074849,0.05502174509895894,0.5608431143229098,0.015463274443926466,0.015119559135379204,0.01605892733994183,0.0049071460031910605,0.15624898296713374,0.0,0.08855882627762858,0.08855584887417992,0.08856031496932407,Kim Kardashian,KimKardashian,celebrity,1
17,0.2495902602128231,0.13401588276326495,0.38797197002162725,0.04140375298494675,0.03925243278060982,0.045131955011750706,0.037881522445950694,0.029082401648980478,0.3630608234864791,0.11468403285938637,0.11473100134365498,0.11466054877545256,Lebron James,KingJames,athlete,1
18,0.0245950230645826,0.03524449781030045,0.0,0.7585235536885114,0.6416238095998005,0.9611088601276881,0.020759286253078765,0.0027479706322231677,0.19025515815549568,0.08357047160720056,0.08357025636170187,0.08357057922922466,Lavar Ball,Lavarbigballer,athlete,1
19,0.016506427363475518,0.02590215411856178,0.1794173420730978,0.0074252757656548055,0.006089176670361376,0.009740713209621506,0.032484276660467964,0.003266864138182043,0.4612913692160908,0.0902501885970772,0.09026761485633389,0.09024147552614428,Leonardo Dicaprio,LeoDiCaprio,celebrity,0
