981622756965052416,2018-04-04 20:01:17,0,372,RT Gorgeous Positive Friends 3 31 18 Brand R RealIronMan Training 262 lbs FastandFurious9 to go up against,0.4636363636363636,TheRock,celebrity
981622746667941888,2018-04-04 20:01:15,0,0,My 5 year old is begging me to shave his head so he can look like,0.1,TheRock,celebrity
981622675104780292,2018-04-04 20:00:58,0,60,RT Anyone who saw with and wants to help protect Mountain Gorillas Adopt a Gorilla from,0.2,TheRock,celebrity
981622629957283841,2018-04-04 20:00:47,0,9701,RT and The Pebble,0.0,TheRock,celebrity
981622612118958081,2018-04-04 20:00:43,0,0,loved this such a cool guy,0.3499999999999999,TheRock,celebrity
981622585971691520,2018-04-04 20:00:36,0,35,RT Simply incredible WrestleMania WWENetwork,0.9,TheRock,celebrity
981622530581696513,2018-04-04 20:00:23,0,0,This would be a very interesting couple Dwayne TheRock Johnson made an appearance on Ellen and shares some person,0.65,TheRock,celebrity
981622522197274632,2018-04-04 20:00:21,1,0,ruff He knows what his fans like I ll give him that,0.0,TheRock,celebrity
981622442434158592,2018-04-04 20:00:02,0,0,We re giving out free passes to an early screening of s RampageMovie to our readers in Dallas Houston a,0.25,TheRock,celebrity
981622403972452353,2018-04-04 19:59:53,0,0,tempted to see Rampage now,0.0,TheRock,celebrity
981622376910770177,2018-04-04 19:59:46,0,0,Great article Keep up the amazing work,0.7000000000000001,TheRock,celebrity
981622344434290688,2018-04-04 19:59:39,0,874,RT First look at my new cover This one means a lot to me as I ve come full circle We re all in the same game jus,0.06727272727272726,TheRock,celebrity
981622322963529728,2018-04-04 19:59:34,0,0,breaking some toxic masculinity bullshit and opening up about his personal struggles with depression TH,0.0,TheRock,celebrity
981622277253906432,2018-04-04 19:59:23,0,60,RT Anyone who saw with and wants to help protect Mountain Gorillas Adopt a Gorilla from,0.2,TheRock,celebrity
981622198929469440,2018-04-04 19:59:04,0,0,Mr Rock may I call you Rock my life is simple why cuz I do what The Rock Says When,0.0,TheRock,celebrity
981622111872606208,2018-04-04 19:58:43,0,1,RT Yes 100 ThankYou V Rivers,0.0,TheRock,celebrity
