screen_name,favorite_count,retweet_count,polarity,controversial
Adele,0.00012793296312732123,0.0045752239290154035,0.5277971910816373,0
AnnaKendrick47,0.00026630807361704436,0.0018221415071619435,0.5647683546061524,0
Beyonce,2.4719190001582028e-06,0.0169229101326661,0.5888775584018349,0
BrunoMars,8.397819024951761e-05,0.0048586221183257285,0.5659217208785647,0
Caitlyn_Jenner,0.0003114617940199337,0.0006561881554367728,0.5213130651755649,1
Cristiano,9.239656606153613e-05,0.004462143932408879,0.596237402091394,0
DrOz,0.0005225282429822482,0.000214035200458,0.5776856951195696,1
Eminem,0.00011100470423486228,0.0009667445915979522,0.5521089986525926,1
EmmaWatson,0.0014008032925075628,0.0008700432830085145,0.666821159840827,0
Fergie,0.0002078120941170041,0.0013268059953962029,0.5630119478144177,1
GwynethPaltrow,0.0008189661258666216,0.0001346740297228871,0.5859399759149299,1
HereIsGina,0.000612104869101321,0.00013804626936858057,0.5665323188616502,0
JohnMayer,0.0003721542374107529,0.0008462478575577151,0.5635608534344401,1
KDTrey5,0.0001549764575964163,0.000401628317753482,0.59083173253532,1
Kaepernick7,0.00012767415915983569,0.002421384114673872,0.5209208236362233,1
KevinSpacey,0.0004380224698462155,0.00024052107675448387,0.5600752857072635,1
KimKardashian,3.249315322842686e-05,0.007044405280105072,0.5051511565613385,1
KingJames,0.00021510032001376665,0.0013406333356093495,0.5596473670874532,1
Lavarbigballer,0.00013106017600838775,0.00037611761124200686,0.5307514167283076,1
LeoDiCaprio,0.00021019709453634774,0.0001598669309739219,0.5774750532066818,0
Lionel_Messi,0.00021996692910996837,0.00044478430022900354,0.5902930748509845,0
MileyCyrus,7.647143791793762e-05,0.010024898695756389,0.5394017760266137,1
Money23Green,0.0010253886222878477,0.00015698400726853147,0.5531103064745052,1
Oprah,0.00010527323188821889,0.005828254853127296,0.5529676345316775,0
RajonRondo,0.00037827703036084366,0.00013612556624371616,0.53146930764505,1
RealTristan13,0.00015903197123030374,0.002950612161371273,0.5156171683012618,1
RondaRousey,0.00018266716900138148,0.00028624238781753294,0.5551957667010822,1
StephenCurry30,0.0001223404846907566,0.009857630369645029,0.5240665744001461,0
TheEllenShow,4.881741484370402e-05,0.005838470396082477,0.5641696968825594,0
TheRock,0.00035494221540733164,0.0011978968135218711,0.5839553755267057,0
TigerWoods,0.0003853820598006652,0.001015458597665858,0.563194686628185,1
_KrisJStewart,0.00014747046417024211,1.0099758662239248e-05,0.6173629239269944,1
aplusk,0.0003532426380839216,8.063348633355119e-05,0.5809642255892263,1
britneyspears,0.00010316267279747692,0.004980233142485151,0.5704998181388408,1
chelseahandler,0.0001565905580125695,9.274880576929857e-05,0.503179619036308,1
chloekimsnow,0.0005642818819263292,0.00016129182009198394,0.628033838785629,0
chrisbrown,6.514233600416908e-05,0.0018509460121555702,0.5406138188608783,1
coldplay,0.00023515579071134636,0.000635393245128491,0.5627300627527487,0
edsheeran,0.00028895587189134127,0.0017331533424455653,0.6111010883432253,0
hopesolo,0.005814826847766473,4.432810581613334e-05,0.6256404767682372,1
jason_mraz,0.000163904911372453,0.0001958133404350272,0.5778436663597705,0
jimmyfallon,0.00013739184707113714,0.0015472340197465351,0.5839615530228064,0
johnlegend,0.00017216801847742198,0.02518491529227808,0.5522376557072711,0
justinbieber,2.5070950790737787e-05,0.04649436443800943,0.5571702136563064,1
kporzee,0.00027235322187108913,0.0003246874812506793,0.5622638771571695,0
lancearmstrong,0.0012846508985951393,9.296812512144218e-06,0.5657045569297063,1
lindsaylohan,0.0005310252809278405,0.00022155362629880455,0.5198320453212203,1
lindseyvonn,0.0012084558495945822,1.6145977387074753e-05,0.5999968259410599,0
marilynmanson,0.00028819799790615335,0.0005092783818993601,0.568982481296593,1
nickjonas,0.00011556956044068569,0.004294855078818053,0.566698719002636,0
piersmorgan,5.939448282733062e-05,0.0005720507101179019,0.5269094718745102,1
prattprattpratt,0.00023991554972649625,0.0022314786855682353,0.5769241421055389,0
rogerfederer,0.00028676789219226636,0.0010603653945766615,0.5973928195839144,0
russwest44,8.636480773382918e-05,0.0003814546583808069,0.5430176659905444,0
selenagomez,0.00013267375523587496,0.005370285689030642,0.6486648758145545,0
serenawilliams,0.0005835059021001246,0.0016990581976344089,0.5891984331894647,0
shakira,0.0002299709661655218,0.0015665622310897854,0.5664245914948947,0
shaunwhite,0.0026644684801705267,0.005893454328047665,0.5782380200440979,0
taylorswift13,0.0001288685342691171,0.0006560960619241147,0.5702108836507809,1
tomhanks,0.00037099955089528046,0.0005517165729487902,0.5643836295508972,0
tylerthecreator,6.869849330464481e-05,0.004964800436085473,0.5800618534691139,1
